year,start,end,current,coverage.fixtures.events,coverage.fixtures.lineups,coverage.fixtures.statistics_fixtures,coverage.fixtures.statistics_players,coverage.standings,coverage.players,coverage.top_scorers,coverage.top_assists,coverage.top_cards,coverage.injuries,coverage.predictions,coverage.odds,league
2008,2008-06-07,2008-06-29,False,True,True,False,False,False,False,False,False,False,False,True,False,"{'id': 4, 'name': 'Euro Championship', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/4.png'}"
2012,2012-06-08,2012-07-01,False,True,True,False,False,False,False,False,False,False,False,True,False,"{'id': 4, 'name': 'Euro Championship', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/4.png'}"
2016,2016-06-10,2016-07-10,False,True,True,True,True,True,False,False,False,False,False,True,False,"{'id': 4, 'name': 'Euro Championship', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/4.png'}"
2020,2019-03-21,2021-07-11,True,True,True,True,True,True,True,True,True,True,False,True,False,"{'id': 4, 'name': 'Euro Championship', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/4.png'}"
2009,2009-06-14,2009-06-28,False,True,True,False,False,False,True,True,True,True,False,True,False,"{'id': 21, 'name': 'Confederations Cup', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/21.png'}"
2013,2013-06-15,2013-06-30,False,True,True,False,False,False,True,True,True,True,False,True,False,"{'id': 21, 'name': 'Confederations Cup', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/21.png'}"
2017,2017-06-17,2017-07-02,True,True,True,True,False,False,True,True,True,True,False,True,False,"{'id': 21, 'name': 'Confederations Cup', 'type': 'Cup', 'logo': 'https://media.api-sports.io/football/leagues/21.png'}"
2010,2010-08-07,2011-05-29,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2011,2011-08-06,2012-05-20,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2012,2012-08-10,2013-05-26,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2013,2013-08-09,2014-05-17,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2014,2014-08-08,2015-05-23,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2015,2015-08-07,2016-05-14,False,True,True,True,True,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2016,2016-08-12,2017-05-20,False,True,True,True,True,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2017,2017-08-04,2018-05-19,False,True,True,True,True,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2018,2018-08-10,2019-05-24,False,True,True,True,True,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2019,2019-08-09,2020-05-23,False,True,True,True,True,True,True,True,True,True,False,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2020,2020-08-21,2021-05-30,False,True,True,True,True,True,True,True,True,True,True,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2021,2021-08-06,2022-05-29,False,True,True,True,True,True,True,True,True,True,True,True,False,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2022,2022-08-05,2023-06-03,True,False,False,False,False,True,True,True,True,True,False,True,True,"{'id': 61, 'name': 'Ligue 1', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/61.png'}"
2010,2010-07-30,2011-05-16,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 144, 'name': 'Jupiler Pro League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/144.png'}"
2011,2011-07-29,2012-05-20,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 144, 'name': 'Jupiler Pro League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/144.png'}"
2012,2012-07-28,2013-05-26,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 144, 'name': 'Jupiler Pro League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/144.png'}"
2013,2013-07-26,2014-05-18,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 144, 'name': 'Jupiler Pro League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/144.png'}"
2014,2014-07-25,2015-05-31,False,True,True,False,False,True,True,True,True,True,False,True,False,"{'id': 144, 'name': 'Jupiler Pro League', 'type': 'League', 'logo': 'https://media.api-sports.io/football/leagues/144.png'}"
